,x,y,z,dataset_name,dataset_color
60,3.1866496,3.213419,2.5992775,ogbg-molpcba,0.0
61,3.2015872,3.5733342,2.206588,ogbg-molpcba,0.0
62,1.0853449,2.0769653,2.151844,ogbg-molpcba,0.0
63,1.0830077,2.2197971,2.3528543,ogbg-molpcba,0.0
64,1.1114069,2.2184734,2.336393,ogbg-molpcba,0.0
65,1.0979658,2.1977022,2.20545,ogbg-molpcba,0.0
66,3.274563,3.2451189,2.511107,ogbg-molpcba,0.0
67,3.5404658,2.8219614,2.9062462,ogbg-molpcba,0.0
68,0.9899425,2.1849732,2.2462816,ogbg-molpcba,0.0
69,2.4504194,3.1694996,2.6435235,ogbg-molpcba,0.0
70,3.2529533,2.9731472,2.7769432,ogbg-molpcba,0.0
71,2.7472954,3.1706536,2.4522638,ogbg-molpcba,0.0
72,3.3119109,3.0320463,2.834618,ogbg-molpcba,0.0
73,3.8135097,2.932052,2.5069535,ogbg-molpcba,0.0
74,2.623214,3.0908198,2.2621148,ogbg-molpcba,0.0
75,2.1858797,2.8952358,2.3857477,ogbg-molpcba,0.0
76,2.748081,3.1734688,2.4421525,ogbg-molpcba,0.0
77,2.1190841,2.9141316,2.4951944,ogbg-molpcba,0.0
78,1.1036192,2.2185721,2.4546285,ogbg-molpcba,0.0
79,4.3351474,2.1240966,2.5221987,ogbg-molpcba,0.0
80,4.28739,2.7039275,2.8236508,ogbg-molpcba,0.0
81,3.0728102,3.1381223,2.8032377,ogbg-molpcba,0.0
82,1.6882428,2.2910662,3.1702926,ogbg-molpcba,0.0
83,2.2002401,2.9590771,2.0854027,ogbg-molpcba,0.0
84,2.4270709,2.2498498,3.5234377,ogbg-molpcba,0.0
85,2.6730494,3.184711,2.5805032,ogbg-molpcba,0.0
86,2.809159,3.0981698,2.8297002,ogbg-molpcba,0.0
87,2.520428,3.2572353,2.42698,ogbg-molpcba,0.0
88,3.0521598,3.0915906,2.8398035,ogbg-molpcba,0.0
89,2.6676357,3.2153456,2.5823846,ogbg-molpcba,0.0
90,3.0438128,2.0932693,2.7545316,ogbg-molpcba,0.0
91,2.6006768,3.152333,2.6600547,ogbg-molpcba,0.0
92,2.7423787,1.8020986,3.0823085,ogbg-molpcba,0.0
93,2.742505,1.7981032,3.0808928,ogbg-molpcba,0.0
94,3.591235,2.6647067,3.0756495,ogbg-molpcba,0.0
95,2.2233686,3.1696875,2.4030786,ogbg-molpcba,0.0
96,3.5289876,2.974235,2.8370328,ogbg-molpcba,0.0
97,3.983877,2.6461837,2.997656,ogbg-molpcba,0.0
98,4.0615363,2.5616245,3.0174007,ogbg-molpcba,0.0
99,2.173404,3.1139324,2.4588258,ogbg-molpcba,0.0
100,2.1262596,2.8651521,2.4879768,ogbg-molpcba,0.0
101,2.5572574,3.118128,2.720482,ogbg-molpcba,0.0
102,2.1638825,3.0886176,2.431149,ogbg-molpcba,0.0
103,2.9602866,2.9149365,2.87053,ogbg-molpcba,0.0
104,4.280875,2.5218494,2.9374425,ogbg-molpcba,0.0
105,4.154713,2.5326414,2.9907348,ogbg-molpcba,0.0
106,4.115742,2.1208885,2.6159701,ogbg-molpcba,0.0
107,1.3123828,1.9949319,2.1235547,ogbg-molpcba,0.0
108,3.657086,2.9701896,2.5880525,ogbg-molpcba,0.0
109,2.3827178,2.9631965,2.7502806,ogbg-molpcba,0.0
110,3.0945318,3.103753,2.7763562,ogbg-molpcba,0.0
111,2.9581418,3.4857311,2.326832,ogbg-molpcba,0.0
112,2.0923142,2.7618477,2.3294966,ogbg-molpcba,0.0
113,4.4161215,2.3969345,2.7779188,ogbg-molpcba,0.0
114,4.2088223,2.6889024,2.8281565,ogbg-molpcba,0.0
115,2.78496,3.0840745,2.8028092,ogbg-molpcba,0.0
116,3.340242,2.981247,2.8895352,ogbg-molpcba,0.0
117,2.1161096,2.857147,2.04258,ogbg-molpcba,0.0
118,2.721103,3.2471728,2.506656,ogbg-molpcba,0.0
119,2.3429482,3.1038084,2.3116663,ogbg-molpcba,0.0
120,2.323898,2.9881635,2.5890028,ogbg-molpcba,0.0
121,2.0584638,2.6713073,2.1314578,ogbg-molpcba,0.0
122,2.5526297,3.1964784,2.004671,ogbg-molpcba,0.0
123,3.8702738,2.8449972,2.644439,ogbg-molpcba,0.0
124,2.4131274,1.881874,2.8510118,ogbg-molpcba,0.0
125,2.4590657,3.1406295,2.3078454,ogbg-molpcba,0.0
126,2.2051616,2.952563,2.3192523,ogbg-molpcba,0.0
127,3.4244258,3.1382966,2.4241817,ogbg-molpcba,0.0
128,2.428274,2.248406,3.5299964,ogbg-molpcba,0.0
129,2.137731,2.9027195,2.5784483,ogbg-molpcba,0.0
130,3.6408043,3.0585809,2.5204573,ogbg-molpcba,0.0
131,2.9014235,2.929641,2.8728597,ogbg-molpcba,0.0
132,1.8929073,2.2209694,3.2957873,ogbg-molpcba,0.0
133,4.2961626,2.224784,2.5349061,ogbg-molpcba,0.0
134,4.1269417,2.1055317,2.605429,ogbg-molpcba,0.0
135,2.2201996,2.9416237,2.570252,ogbg-molpcba,0.0
136,2.3218794,3.1525848,2.4945927,ogbg-molpcba,0.0
137,4.612192,2.1952949,2.5099754,ogbg-molpcba,0.0
138,2.8791103,2.9984174,2.6835883,ogbg-molpcba,0.0
139,2.1994529,3.0916116,2.3828194,ogbg-molpcba,0.0
140,4.2778125,2.171858,2.710207,ogbg-molpcba,0.0
141,1.1237484,2.2370358,2.4934282,ogbg-molpcba,0.0
142,2.2783551,3.153852,2.50888,ogbg-molpcba,0.0
143,2.966045,3.0164647,2.8798227,ogbg-molpcba,0.0
144,3.8601642,2.899171,2.8010209,ogbg-molpcba,0.0
145,2.975024,3.004612,2.8914032,ogbg-molpcba,0.0
146,3.480901,3.3454263,2.4906907,ogbg-molpcba,0.0
147,2.569099,3.137716,2.7303855,ogbg-molpcba,0.0
148,3.2212462,2.9808664,2.6566498,ogbg-molpcba,0.0
149,2.5601726,3.1077676,2.7485716,ogbg-molpcba,0.0
150,2.0549898,2.789936,2.4262455,ogbg-molpcba,0.0
151,1.2995254,2.1121721,2.295654,ogbg-molpcba,0.0
152,3.05571,3.3062646,2.4822555,ogbg-molpcba,0.0
153,3.0505702,3.078591,2.8234575,ogbg-molpcba,0.0
154,2.6917682,1.4652764,3.1294103,ogbg-molpcba,0.0
155,2.0523818,2.890964,2.4019284,ogbg-molpcba,0.0
156,3.1174734,3.0659025,2.6327212,ogbg-molpcba,0.0
157,3.4849782,3.1574898,2.457165,ogbg-molpcba,0.0
158,3.5912797,2.8835382,2.7815998,ogbg-molpcba,0.0
159,1.2485257,2.2484808,2.6193967,ogbg-molpcba,0.0
160,3.4047277,3.5319512,2.2588303,ogbg-molpcba,0.0
161,2.7447774,3.188574,2.469947,ogbg-molpcba,0.0
162,1.3214611,1.9385911,2.1253514,ogbg-molpcba,0.0
163,3.1983538,3.180989,2.580243,ogbg-molpcba,0.0
164,1.3464965,2.0072896,2.1142154,ogbg-molpcba,0.0
165,2.1659448,2.899136,2.1007726,ogbg-molpcba,0.0
166,2.1157265,2.9043703,2.5053248,ogbg-molpcba,0.0
167,4.3110075,2.177288,2.4969602,ogbg-molpcba,0.0
168,2.0209825,2.2327044,3.2811227,ogbg-molpcba,0.0
169,3.944207,3.0358083,2.4579706,ogbg-molpcba,0.0
170,2.3573163,2.9346035,2.7512455,ogbg-molpcba,0.0
171,3.4373724,2.6965299,3.058805,ogbg-molpcba,0.0
172,2.958696,2.9135036,2.91817,ogbg-molpcba,0.0
173,2.2429864,3.0119665,2.3152049,ogbg-molpcba,0.0
174,2.5697396,3.1498232,2.7291884,ogbg-molpcba,0.0
175,2.3470721,3.0030584,2.5648167,ogbg-molpcba,0.0
176,2.7329824,3.1412003,2.4474797,ogbg-molpcba,0.0
177,3.0295582,3.0463696,2.8027704,ogbg-molpcba,0.0
178,2.5905242,3.06827,2.741328,ogbg-molpcba,0.0
179,3.5237591,2.865158,2.8885925,ogbg-molpcba,0.0
180,2.0831623,2.9812372,2.3442028,ogbg-molpcba,0.0
181,2.0622973,2.9040098,2.2833521,ogbg-molpcba,0.0
182,3.8912928,2.7333808,2.821871,ogbg-molpcba,0.0
183,2.6582427,3.3359814,2.2748427,ogbg-molpcba,0.0
184,1.3064185,2.109373,2.2940202,ogbg-molpcba,0.0
185,4.0802436,2.6204944,2.607418,ogbg-molpcba,0.0
186,2.0668116,2.667336,2.2470963,ogbg-molpcba,0.0
187,4.34191,2.7435234,2.7687802,ogbg-molpcba,0.0
188,3.5814464,2.6716576,3.0717776,ogbg-molpcba,0.0
189,3.4505231,3.1312058,2.568817,ogbg-molpcba,0.0
190,3.417496,3.0870097,2.6481192,ogbg-molpcba,0.0
191,3.5885797,2.8736138,2.7901974,ogbg-molpcba,0.0
192,1.1530309,2.061597,2.1771905,ogbg-molpcba,0.0
193,2.3509216,3.0087917,2.5365162,ogbg-molpcba,0.0
194,2.1930382,2.1428525,2.2371492,ogbg-molpcba,0.0
195,3.663336,2.962069,2.5875404,ogbg-molpcba,0.0
196,2.1041648,3.004833,2.3471467,ogbg-molpcba,0.0
197,2.953075,2.9135714,2.8427162,ogbg-molpcba,0.0
198,4.282869,2.6946843,2.8275318,ogbg-molpcba,0.0
199,1.2171046,2.0511231,2.1421502,ogbg-molpcba,0.0
200,3.4762056,3.212255,2.5842576,ogbg-molpcba,0.0
201,2.5275512,3.2475855,2.4262798,ogbg-molpcba,0.0
202,3.029686,3.310865,2.502898,ogbg-molpcba,0.0
203,3.4758158,3.2145998,2.5761287,ogbg-molpcba,0.0
204,4.2548084,2.6979706,2.7942748,ogbg-molpcba,0.0
205,4.4762926,2.3752086,2.7663212,ogbg-molpcba,0.0
206,2.0407424,2.6779294,2.0457206,ogbg-molpcba,0.0
207,2.1852157,2.9872305,2.1984463,ogbg-molpcba,0.0
208,4.384099,2.1662877,2.6574175,ogbg-molpcba,0.0
209,3.448713,3.2493093,2.556755,ogbg-molpcba,0.0
210,1.2622118,2.2474666,2.6309707,ogbg-molpcba,0.0
211,2.4084895,3.0809333,2.4437585,ogbg-molpcba,0.0
212,3.6563122,2.9850316,2.6979015,ogbg-molpcba,0.0
213,2.414271,3.1532946,2.570543,ogbg-molpcba,0.0
214,2.4149256,3.0474815,2.4935267,ogbg-molpcba,0.0
215,2.4554174,3.1376078,2.3014214,ogbg-molpcba,0.0
216,3.096908,3.4382894,2.4063249,ogbg-molpcba,0.0
217,3.5749931,2.6722908,3.0718074,ogbg-molpcba,0.0
218,3.3426635,3.1981337,2.361061,ogbg-molpcba,0.0
219,1.245007,2.232539,2.5414283,ogbg-molpcba,0.0
220,2.0739686,2.6562843,2.355719,ogbg-molpcba,0.0
221,4.440861,2.4378629,2.6533754,ogbg-molpcba,0.0
222,2.6997232,3.2492685,2.1872482,ogbg-molpcba,0.0
223,2.1717381,2.9724133,2.5452387,ogbg-molpcba,0.0
224,1.1557568,2.1820672,2.357119,ogbg-molpcba,0.0
225,4.366629,1.1262195,2.64759,ogbg-molpcba,0.0
226,2.4876523,3.0197887,2.4936035,ogbg-molpcba,0.0
227,1.114611,2.1779962,2.1542256,ogbg-molpcba,0.0
228,1.0655289,2.204626,2.244748,ogbg-molpcba,0.0
229,2.5791066,3.0893238,2.4167955,ogbg-molpcba,0.0
230,2.0809,2.7279484,2.2236042,ogbg-molpcba,0.0
231,2.0800226,2.6567364,2.3663008,ogbg-molpcba,0.0
232,2.1226778,2.9292755,2.5466652,ogbg-molpcba,0.0
233,2.1040952,2.885543,2.5158362,ogbg-molpcba,0.0
234,4.161388,2.111873,2.6111238,ogbg-molpcba,0.0
235,2.6883838,3.4017754,2.170171,ogbg-molpcba,0.0
236,1.9937752,2.2469795,3.3082533,ogbg-molpcba,0.0
237,2.9683065,3.2205865,2.5664983,ogbg-molpcba,0.0
238,2.0843651,2.1882918,3.3853366,ogbg-molpcba,0.0
239,1.9099689,2.2425435,3.1592293,ogbg-molpcba,0.0
240,4.1095667,2.6547737,2.9184341,ogbg-molpcba,0.0
241,4.032347,2.707755,2.608686,ogbg-molpcba,0.0
242,1.3260497,2.0993886,2.283735,ogbg-molpcba,0.0
243,4.1215887,2.6563988,2.8965015,ogbg-molpcba,0.0
244,1.131686,2.2378116,2.5045528,ogbg-molpcba,0.0
245,3.746417,2.8037019,2.9914339,ogbg-molpcba,0.0
246,2.591931,3.20919,2.340554,ogbg-molpcba,0.0
247,3.8815048,2.9968815,2.465559,ogbg-molpcba,0.0
248,2.487367,3.3131726,2.312013,ogbg-molpcba,0.0
249,3.7761655,2.8184686,2.9750917,ogbg-molpcba,0.0
250,3.1900592,3.1671221,2.5866153,ogbg-molpcba,0.0
251,4.0443044,2.5396452,3.0366075,ogbg-molpcba,0.0
252,3.7491152,2.7970505,2.965139,ogbg-molpcba,0.0
253,4.279498,2.702416,2.8266459,ogbg-molpcba,0.0
254,2.9464602,3.102134,2.3489573,ogbg-molpcba,0.0
255,3.4361157,3.1449072,2.552629,ogbg-molpcba,0.0
256,2.7299173,3.1696386,2.485589,ogbg-molpcba,0.0
257,4.4795613,2.369601,2.7731442,ogbg-molpcba,0.0
258,2.624619,3.2065296,2.6249318,ogbg-molpcba,0.0
259,2.537199,3.0355449,2.7024782,ogbg-molpcba,0.0
260,4.365007,2.4800615,2.804826,ogbg-molpcba,0.0
261,3.1429746,3.059466,2.4284773,ogbg-molpcba,0.0
262,2.9329333,3.1050816,2.6075974,ogbg-molpcba,0.0
263,1.1348776,2.1668136,2.117174,ogbg-molpcba,0.0
264,2.2921412,2.1887465,3.5442352,ogbg-molpcba,0.0
265,3.5107503,2.6482308,3.0872781,ogbg-molpcba,0.0
266,2.968487,2.9931722,2.8106813,ogbg-molpcba,0.0
267,3.9834743,3.0110643,2.6697974,ogbg-molpcba,0.0
268,3.110403,3.067448,2.652527,ogbg-molpcba,0.0
269,2.9848018,3.0365431,2.856227,ogbg-molpcba,0.0
270,2.3236926,3.1011167,2.25518,ogbg-molpcba,0.0
271,4.082928,2.1139164,2.6210601,ogbg-molpcba,0.0
272,2.4232583,3.0585628,2.482728,ogbg-molpcba,0.0
273,3.7202418,3.1078804,2.5800462,ogbg-molpcba,0.0
274,2.1478307,3.0135984,2.1752853,ogbg-molpcba,0.0
275,3.814007,2.8355687,2.9394913,ogbg-molpcba,0.0
276,2.294055,3.1279984,2.1575608,ogbg-molpcba,0.0
277,2.3888755,2.9852877,2.665403,ogbg-molpcba,0.0
278,1.9034613,2.2399576,3.0699205,ogbg-molpcba,0.0
279,3.6736495,2.924403,2.5814612,ogbg-molpcba,0.0
280,3.4220266,3.0841286,2.6459374,ogbg-molpcba,0.0
281,2.740133,3.0279684,2.7829502,ogbg-molpcba,0.0
282,3.163717,3.2995355,2.5895407,ogbg-molpcba,0.0
283,2.7866447,3.151164,2.2596214,ogbg-molpcba,0.0
284,1.6565049,2.3077037,3.1741881,ogbg-molpcba,0.0
285,2.4441414,3.2476115,2.3421066,ogbg-molpcba,0.0
286,4.324578,2.5212734,2.9088602,ogbg-molpcba,0.0
287,3.0860753,3.0654423,2.7320015,ogbg-molpcba,0.0
288,2.1056242,2.8877935,2.449447,ogbg-molpcba,0.0
289,4.1265755,2.5855598,2.610362,ogbg-molpcba,0.0
290,2.1387694,2.907204,2.240859,ogbg-molpcba,0.0
291,2.4303033,2.2441454,3.530807,ogbg-molpcba,0.0
292,2.4949272,2.939957,2.7752144,ogbg-molpcba,0.0
293,3.3632827,3.2717345,2.3813195,ogbg-molpcba,0.0
294,4.567002,2.2150369,2.5473568,ogbg-molpcba,0.0
295,2.5644388,2.9771037,2.7171216,ogbg-molpcba,0.0
296,3.3194406,3.0048892,2.7870064,ogbg-molpcba,0.0
297,1.3022237,2.052748,2.178879,ogbg-molpcba,0.0
298,3.6067858,2.7506444,3.0051734,ogbg-molpcba,0.0
299,1.2373372,2.2386057,2.554131,ogbg-molpcba,0.0
300,2.6189597,3.1502876,2.6394093,ogbg-molpcba,0.0
301,3.7833648,3.1842365,2.4783018,ogbg-molpcba,0.0
302,0.99776596,2.1591737,2.2167103,ogbg-molpcba,0.0
303,1.5446372,2.404614,3.30532,ogbg-molpcba,0.0
304,3.0670397,3.4677713,2.3744917,ogbg-molpcba,0.0
305,3.5405474,2.680863,3.0683157,ogbg-molpcba,0.0
306,3.8780823,2.8634489,2.7280865,ogbg-molpcba,0.0
307,1.589915,2.3271656,3.1385114,ogbg-molpcba,0.0
308,2.5691028,3.1721315,2.709957,ogbg-molpcba,0.0
309,2.5096674,3.1604722,2.121977,ogbg-molpcba,0.0
310,4.1579742,2.5777295,2.6185737,ogbg-molpcba,0.0
311,2.0622952,2.7247744,2.1191776,ogbg-molpcba,0.0
312,2.0660696,2.2236931,3.3301742,ogbg-molpcba,0.0
313,1.0828182,2.2191062,2.3501668,ogbg-molpcba,0.0
314,4.277919,2.4828768,2.9176705,ogbg-molpcba,0.0
315,2.426253,2.2483635,3.529939,ogbg-molpcba,0.0
316,3.2099066,2.9724302,2.8855186,ogbg-molpcba,0.0
317,2.9146957,2.955385,2.788288,ogbg-molpcba,0.0
318,4.386469,2.3584912,2.807089,ogbg-molpcba,0.0
319,2.3976285,3.0280318,2.3803189,ogbg-molpcba,0.0
320,2.168541,3.0349622,2.2800984,ogbg-molpcba,0.0
321,3.082339,3.1388845,2.7936187,ogbg-molpcba,0.0
322,2.568041,3.1965547,2.6897163,ogbg-molpcba,0.0
323,2.3727722,2.9955535,2.5802681,ogbg-molpcba,0.0
324,2.6288397,3.1183977,2.4042077,ogbg-molpcba,0.0
325,2.2016668,2.9892774,2.4031606,ogbg-molpcba,0.0
326,2.1693997,2.946518,2.5821,ogbg-molpcba,0.0
327,2.9184039,3.094645,2.6188107,ogbg-molpcba,0.0
328,3.0916264,3.392759,2.4634614,ogbg-molpcba,0.0
329,3.4811583,3.2453568,2.5381625,ogbg-molpcba,0.0
330,3.4229302,3.1186712,2.6384056,ogbg-molpcba,0.0
331,2.2755134,3.1468983,2.5193548,ogbg-molpcba,0.0
332,3.5079591,2.6573024,3.08975,ogbg-molpcba,0.0
333,2.6128776,3.3921268,2.1484165,ogbg-molpcba,0.0
334,2.855342,3.109571,2.8188598,ogbg-molpcba,0.0
335,3.241038,3.043508,2.8502636,ogbg-molpcba,0.0
336,3.2807255,2.9847596,2.7942326,ogbg-molpcba,0.0
337,3.1712446,2.9944768,2.6189055,ogbg-molpcba,0.0
338,4.263638,2.6852827,2.768396,ogbg-molpcba,0.0
339,3.73898,3.1536715,2.5928721,ogbg-molpcba,0.0
340,1.9454026,2.236447,3.066278,ogbg-molpcba,0.0
341,4.2604785,2.4886894,2.9743986,ogbg-molpcba,0.0
342,2.2929492,2.8411908,2.091558,ogbg-molpcba,0.0
343,3.314011,3.0969002,2.4357095,ogbg-molpcba,0.0
344,1.9929034,2.6665287,2.2188668,ogbg-molpcba,0.0
345,2.3568058,3.1114705,2.3034525,ogbg-molpcba,0.0
346,3.3792925,2.8150926,2.9720209,ogbg-molpcba,0.0
347,3.6695344,3.0243769,2.638313,ogbg-molpcba,0.0
348,2.862099,3.1299863,2.8014586,ogbg-molpcba,0.0
349,2.5013642,3.0373573,2.3870184,ogbg-molpcba,0.0
350,2.13195,2.8713846,2.493871,ogbg-molpcba,0.0
351,2.6293185,3.2315328,2.6098325,ogbg-molpcba,0.0
352,3.5808783,2.9886057,2.790884,ogbg-molpcba,0.0
353,3.2635577,3.3558953,2.4835494,ogbg-molpcba,0.0
354,2.5529373,3.0885565,2.4569974,ogbg-molpcba,0.0
355,1.1062087,2.19029,2.186313,ogbg-molpcba,0.0
356,4.436062,2.3395658,2.8014524,ogbg-molpcba,0.0
357,2.5446742,3.3301091,2.2735815,ogbg-molpcba,0.0
358,2.3630598,2.9420469,2.731935,ogbg-molpcba,0.0
359,4.271489,1.0108759,2.9007604,ogbg-molpcba,0.0
360,2.4631405,3.114458,2.4659135,ogbg-molpcba,0.0
361,3.5842721,3.006725,2.7868032,ogbg-molpcba,0.0
362,2.7200553,3.1724074,2.482406,ogbg-molpcba,0.0
363,2.1581743,2.9933345,2.5409672,ogbg-molpcba,0.0
364,2.4559789,3.1751866,2.536777,ogbg-molpcba,0.0
365,2.5637593,3.1934927,2.401014,ogbg-molpcba,0.0
366,4.316287,2.7208478,2.7968543,ogbg-molpcba,0.0
367,4.296582,2.1533263,2.6788442,ogbg-molpcba,0.0
368,3.5925243,2.7384484,3.0200024,ogbg-molpcba,0.0
369,2.0239372,2.298874,2.153193,ogbg-molpcba,0.0
370,4.4679465,3.5564322,3.2247653,ogbg-molpcba,0.0
371,3.8396928,2.769434,2.774629,ogbg-molpcba,0.0
372,3.1713772,3.1801767,2.627478,ogbg-molpcba,0.0
373,1.2510883,2.0517347,2.151515,ogbg-molpcba,0.0
374,2.2653923,3.0617266,2.614805,ogbg-molpcba,0.0
375,2.966566,3.1433463,2.3163557,ogbg-molpcba,0.0
376,4.235811,2.505263,2.632175,ogbg-molpcba,0.0
377,3.566479,2.7304215,3.0245633,ogbg-molpcba,0.0
378,1.1504656,2.2140708,2.4273047,ogbg-molpcba,0.0
379,2.1129277,3.0039225,2.2865362,ogbg-molpcba,0.0
380,2.1750503,3.0485651,2.4780724,ogbg-molpcba,0.0
381,2.4517508,3.1727152,2.639873,ogbg-molpcba,0.0
382,1.0821321,2.0817535,2.2432992,ogbg-molpcba,0.0
383,1.0549313,2.166473,2.3505006,ogbg-molpcba,0.0
384,4.006608,2.6903222,2.8731863,ogbg-molpcba,0.0
385,3.4173148,2.7840214,2.9946675,ogbg-molpcba,0.0
386,2.6180398,3.1219199,2.609774,ogbg-molpcba,0.0
387,2.9578695,2.9167202,2.8565264,ogbg-molpcba,0.0
388,1.1382765,2.1101148,2.0943656,ogbg-molpcba,0.0
389,2.1779678,2.268763,3.5431678,ogbg-molpcba,0.0
390,4.228199,1.0480531,2.8993862,ogbg-molpcba,0.0
391,2.60791,3.084078,2.285523,ogbg-molpcba,0.0
392,2.476203,3.1323307,2.15175,ogbg-molpcba,0.0
393,2.081296,2.8655748,2.2487226,ogbg-molpcba,0.0
394,4.0266075,3.1477005,2.5679796,ogbg-molpcba,0.0
395,3.0299907,2.9052582,2.926986,ogbg-molpcba,0.0
396,3.0530248,3.284853,2.4614332,ogbg-molpcba,0.0
397,3.0337083,3.1672213,2.3253899,ogbg-molpcba,0.0
398,2.088763,2.7189567,2.2322888,ogbg-molpcba,0.0
399,1.3307579,1.9185649,2.13655,ogbg-molpcba,0.0
400,3.9732678,2.4737787,3.0902376,ogbg-molpcba,0.0
401,4.027145,2.637921,2.990299,ogbg-molpcba,0.0
402,2.180641,2.9208214,2.6188352,ogbg-molpcba,0.0
403,2.6813881,3.251469,2.5415814,ogbg-molpcba,0.0
404,3.4428813,2.8875496,2.923164,ogbg-molpcba,0.0
405,2.1919026,2.940817,2.5871189,ogbg-molpcba,0.0
406,2.170704,2.2116454,3.4309504,ogbg-molpcba,0.0
407,3.3555233,3.047139,2.7266448,ogbg-molpcba,0.0
408,1.0953108,2.0875058,2.1422567,ogbg-molpcba,0.0
409,2.7714078,3.0739596,2.7893238,ogbg-molpcba,0.0
410,2.5318124,3.233377,2.41108,ogbg-molpcba,0.0
411,4.226262,2.6896784,2.834192,ogbg-molpcba,0.0
412,2.8894484,3.0737274,2.6311793,ogbg-molpcba,0.0
413,2.0323334,2.638286,2.2209506,ogbg-molpcba,0.0
414,2.9820244,3.3654053,2.5109859,ogbg-molpcba,0.0
415,2.759088,3.5278635,2.217242,ogbg-molpcba,0.0
416,3.500651,2.674779,3.071957,ogbg-molpcba,0.0
417,3.6870487,2.868758,2.69281,ogbg-molpcba,0.0
418,2.0854027,2.9736843,2.3579893,ogbg-molpcba,0.0
